id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
344,Saas-Fee,Switzerland,3573.0,1800.0,63.0,20.0,60.0,20.0,100.0,Yes,No,14.0,2.0,9.0,25.0,25160.0,102.0,9.53,47.17
345,Sainte-Foy-Tarentaise,France,2620.0,1550.0,31.0,10.0,25.0,6.0,41.0,No,No,2.0,4.0,0.0,6.0,7100.0,10.0,9.53,47.17
346,Val Senales Glacier,Italy,3212.0,2011.0,44.0,8.0,7.0,11.0,27.0,Yes,No,6.0,6.0,2.0,14.0,15838.0,0.0,9.53,47.17
347,Serfaus-Fiss-Ladis,Austria,2820.0,1200.0,49.0,47.0,123.0,28.0,198.0,Yes,Yes,40.0,16.0,12.0,68.0,78460.0,1250.0,9.53,47.17
348,Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800.0,1200.0,49.0,138.0,80.0,32.0,250.0,Yes,Yes,33.0,21.0,7.0,61.0,72066.0,575.0,9.53,47.17
349,Sestriere ski resort (Via Lattea),Italy,2749.0,1372.0,48.0,96.0,220.0,84.0,400.0,No,Yes,29.0,35.0,7.0,71.0,96433.0,0.0,9.53,47.17
350,Silvretta Montafon,Austria,2430.0,700.0,53.0,60.0,45.0,8.0,113.0,Yes,No,25.0,18.0,10.0,53.0,67472.0,330.0,9.53,47.17
351,Wagrain (Ski amedé),Austria,1980.0,740.0,52.0,30.0,81.0,4.0,115.0,Yes,No,22.0,16.0,11.0,49.0,75398.0,600.0,9.53,47.17
352,Flachau (Ski amedé),Austria,1980.0,740.0,52.0,30.0,81.0,4.0,115.0,Yes,No,22.0,16.0,11.0,49.0,75398.0,600.0,9.53,47.17
353,Valchiavenna – Madesimo/​Campodolcino,Italy,1550.0,1082.0,39.0,13.0,28.0,5.0,48.0,Yes,Yes,1.0,9.0,3.0,13.0,26060.0,0.0,9.53,47.17
354,St. Anton (Ski Arlberg),Austria,2811.0,1270.0,53.0,130.0,123.0,51.0,304.0,Yes,No,53.0,45.0,15.0,113.0,145127.0,747.0,9.53,47.17
