id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
72,Scuol-Motta Naluns,Switzerland,2785.0,1250.0,50.0,27.0,32.0,11.0,70.0,Yes,No,6.0,6.0,1.0,13.0,18000.0,136.0,9.53,47.17
73,Passo San Pellegrino-​Falcade,Italy,2513.0,1190.0,47.0,20.0,38.0,8.0,67.0,Yes,No,6.0,9.0,2.0,17.0,24030.0,0.0,9.53,47.17
74,Piau Engaly,France,2560.0,1420.0,37.0,35.0,22.0,8.0,65.0,Yes,No,5.0,5.0,0.0,10.0,13615.0,40.0,9.53,47.17
75,Flumserberg,Switzerland,665.0,425.0,51.0,10.0,38.0,17.0,65.0,Yes,Yes,9.0,8.0,4.0,21.0,30867.0,0.0,9.53,47.17
76,Super Sauze,France,2450.0,1400.0,30.0,35.0,20.0,10.0,65.0,Yes,No,18.0,4.0,0.0,22.0,17948.0,100.0,9.53,47.17
77,Bukovel,Ukraine,1372.0,890.0,32.0,26.0,28.0,11.0,65.0,Yes,Yes,3.0,15.0,0.0,18.0,33839.0,0.0,9.53,47.17
78,La Norma,France,2750.0,1350.0,29.0,17.0,43.0,5.0,65.0,Yes,No,7.0,5.0,1.0,13.0,13290.0,126.0,9.53,47.17
79,Pal-​Arinsal-La Massana-Vallnord-,Andorra,1550.0,1230.0,37.0,31.0,24.0,8.0,63.0,Yes,No,15.0,12.0,4.0,31.0,37400.0,296.0,9.53,47.17
80,Arabba,Italy,2478.0,1602.0,49.0,32.0,22.0,8.0,62.0,Yes,No,3.0,16.0,4.0,23.0,43973.0,620.0,9.53,47.17
81,Wildkogel-Neukirchen-​Bramberg,Austria,2150.0,820.0,44.0,28.0,25.0,9.0,62.0,Yes,Yes,15.0,4.0,5.0,24.0,27388.0,335.0,9.53,47.17
82,Hintertux Glacier,Austria,3250.0,1500.0,52.0,14.0,35.0,11.0,60.0,Yes,No,10.0,6.0,6.0,22.0,38852.0,260.0,9.53,47.17
83,Disentis 3000,Switzerland,2833.0,1227.0,49.0,20.0,30.0,10.0,60.0,Yes,No,9.0,3.0,1.0,13.0,10990.0,4.0,9.53,47.17
84,Belalp-Blatten,Switzerland,3118.0,1322.0,49.0,20.0,20.0,20.0,60.0,Yes,No,8.0,3.0,2.0,13.0,13640.0,0.0,9.53,47.17
85,San Martino di Castrozza,Italy,2357.0,1404.0,44.0,16.0,32.0,12.0,60.0,Yes,Yes,7.0,14.0,3.0,24.0,29859.0,150.0,9.53,47.17
86,Meiringen-Hasliberg,Switzerland,1055.0,600.0,50.0,20.0,34.0,6.0,60.0,No,Yes,6.0,4.0,5.0,15.0,16381.0,75.0,9.53,47.17
87,Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2262.0,900.0,52.0,10.0,45.0,5.0,60.0,Yes,Yes,18.0,3.0,4.0,25.0,19956.0,55.0,9.53,47.17
88,Alpe di Siusi-Seiser Alm-,Italy,1669.0,1000.0,54.0,14.0,45.0,1.0,60.0,Yes,No,9.0,15.0,3.0,27.0,35624.0,70.0,9.53,47.17
89,Le Lioran,France,1850.0,1160.0,31.0,30.0,20.0,10.0,60.0,Yes,Yes,13.0,8.0,1.0,22.0,25195.0,241.0,9.53,47.17
90,Saint Luc-​Chandolin-Anniviers-,Switzerland,3025.0,1655.0,47.0,20.0,30.0,10.0,60.0,Yes,No,11.0,3.0,1.0,15.0,10350.0,104.0,9.53,47.17
91,Les Karellis,France,2520.0,1600.0,27.0,26.0,25.0,9.0,60.0,Yes,No,10.0,6.0,0.0,16.0,17452.0,98.0,9.53,47.17
92,Peyragudes,France,2400.0,1600.0,40.0,30.0,26.0,4.0,60.0,Yes,No,8.0,9.0,0.0,17.0,22791.0,230.0,9.53,47.17
93,Leysin,Switzerland,2205.0,1250.0,45.0,43.0,15.0,2.0,60.0,Yes,No,8.0,7.0,1.0,16.0,12980.0,72.0,9.53,47.17
94,Ponte di Legno-Passo ​Tonale-​Presena Glacier-​Temù-Pontedilegno-Tonale-,Italy,3016.0,1121.0,42.0,10.0,40.0,9.0,59.0,Yes,Yes,7.0,19.0,4.0,30.0,49825.0,0.0,9.53,47.17
95,Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2151.0,992.0,54.0,35.0,17.0,5.0,58.0,No,No,8.0,4.0,5.0,17.0,15363.0,0.0,9.53,47.17
96,Anzère,Switzerland,2420.0,1500.0,46.0,12.0,37.0,9.0,58.0,Yes,No,10.0,3.0,1.0,14.0,12462.0,120.0,9.53,47.17
97,Borovets,Bulgaria,2560.0,1300.0,28.0,24.0,29.0,5.0,58.0,Yes,Yes,8.0,4.0,2.0,14.0,15800.0,160.0,9.53,47.17
98,Font-Romeu-​Bolquère Pyrénées 2000,France,2213.0,1650.0,38.0,30.0,19.0,9.0,58.0,Yes,No,15.0,8.0,1.0,24.0,27378.0,535.0,9.53,47.17
99,Oppdal,Norway,1300.0,585.0,44.0,40.0,7.0,9.0,56.0,No,No,1.0,0.0,0.0,1.0,0.0,0.0,9.53,47.17
100,Brévent-​Flégère-Chamonix-,France,2525.0,1030.0,51.0,11.0,25.0,20.0,56.0,Yes,No,6.0,8.0,5.0,19.0,26734.0,0.0,9.53,47.17
101,Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000.0,584.0,43.0,25.0,25.0,5.0,55.0,Yes,No,5.0,8.0,3.0,16.0,19859.0,133.0,9.53,47.17
102,Ylläs,Finland,718.0,200.0,42.0,21.0,28.0,6.0,55.0,Yes,Yes,27.0,1.0,1.0,29.0,28284.0,36.0,9.53,47.17
103,Belvedere-​Col Rodella-​Ciampac-​Buffaure-Canazei-​Campitello-​Alba-​Pozza di Fassa,Italy,2428.0,1320.0,48.0,7.0,40.0,7.0,55.0,Yes,Yes,11.0,18.0,10.0,39.0,56216.0,0.0,9.53,47.17
104,Lauchernalp-Lötschental,Switzerland,3111.0,1419.0,48.0,20.0,17.0,18.0,55.0,Yes,No,2.0,2.0,2.0,6.0,6800.0,28.0,9.53,47.17
105,Grossglockner Heiligenblut,Austria,2989.0,1301.0,44.0,20.0,34.0,1.0,55.0,No,No,8.0,1.0,4.0,13.0,12500.0,60.0,9.53,47.17
106,Brandnertal-Brand-​Bürserberg,Austria,2000.0,904.0,46.0,22.0,30.0,3.0,55.0,Yes,Yes,6.0,6.0,3.0,15.0,18963.0,82.0,9.53,47.17
107,Alpe du Grand-Serre-La Morte,France,2184.0,1367.0,27.0,36.0,17.0,2.0,55.0,Yes,No,12.0,3.0,0.0,15.0,13486.0,0.0,9.53,47.17
108,Les Angles,France,2376.0,1600.0,38.0,22.0,23.0,10.0,55.0,Yes,Yes,15.0,4.0,1.0,20.0,21787.0,363.0,9.53,47.17
109,Kopaonik,Serbia,2017.0,1057.0,30.0,30.0,19.0,6.0,55.0,Yes,Yes,14.0,13.0,0.0,27.0,35052.0,315.0,9.53,47.17
110,Aussois,France,2750.0,1500.0,29.0,30.0,22.0,3.0,55.0,Yes,No,4.0,4.0,0.0,8.0,9228.0,130.0,9.53,47.17
111,First-Grindelwald,Switzerland,2501.0,1050.0,55.0,30.0,15.0,8.0,53.0,Yes,No,3.0,3.0,3.0,9.0,12720.0,38.0,9.53,47.17
112,Sörenberg-Rothorn-​Dorf,Switzerland,2350.0,1110.0,44.0,30.0,15.0,8.0,53.0,Yes,Yes,12.0,3.0,2.0,17.0,20930.0,0.0,9.53,47.17
113,Riserva Bianca-Limone Piemonte,Italy,2060.0,1046.0,34.0,11.0,35.0,5.0,52.0,No,No,5.0,11.0,1.0,17.0,20655.0,0.0,9.53,47.17
114,Gitschberg Jochtal,Italy,1354.0,772.0,46.0,17.0,25.0,9.0,51.0,Yes,No,14.0,4.0,6.0,24.0,23617.0,90.0,9.53,47.17
115,Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2970.0,796.0,55.0,19.0,23.0,9.0,51.0,Yes,No,3.0,7.0,6.0,16.0,13852.0,38.0,9.53,47.17
116,Pila,Italy,1540.0,570.0,42.0,8.0,35.0,6.0,50.0,Yes,No,5.0,8.0,4.0,17.0,22154.0,480.0,9.53,47.17
117,Brigels-​Waltensburg-​Andiast,Switzerland,2418.0,1110.0,49.0,13.0,33.0,3.0,50.0,Yes,Yes,9.0,4.0,0.0,13.0,10030.0,100.0,9.53,47.17
118,Aprica,Italy,2270.0,1162.0,38.0,28.0,14.0,7.0,50.0,Yes,No,10.0,4.0,2.0,16.0,13965.0,0.0,9.53,47.17
119,Bormio-Cima Bianca,Italy,3012.0,1225.0,40.0,14.0,34.0,2.0,50.0,Yes,Yes,8.0,5.0,2.0,15.0,17630.0,240.0,9.53,47.17
120,Sedrun-Oberalp,Switzerland,2300.0,1500.0,53.0,10.0,35.0,5.0,50.0,Yes,No,7.0,5.0,0.0,12.0,12100.0,0.0,9.53,47.17
121,Grosseck-​Speiereck-Mauterndorf-​St. Michael,Austria,2400.0,1095.0,41.0,26.0,17.0,7.0,50.0,No,Yes,6.0,4.0,2.0,12.0,14286.0,150.0,9.53,47.17
122,Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610.0,923.0,24.0,30.0,17.0,3.0,50.0,Yes,No,27.0,6.0,0.0,33.0,29480.0,0.0,9.53,47.17
123,Pragelato,Italy,2700.0,1335.0,0.0,14.0,32.0,4.0,50.0,No,No,4.0,1.0,0.0,5.0,3660.0,0.0,9.53,47.17
124,Porté Puymorens,France,2471.0,1600.0,30.0,21.0,20.0,9.0,50.0,Yes,No,5.0,4.0,0.0,9.0,7380.0,70.0,9.53,47.17
125,Mythenregion,Switzerland,1070.0,573.0,39.0,18.0,31.0,1.0,50.0,Yes,No,11.0,0.0,4.0,15.0,12592.0,55.0,9.53,47.17
126,Candanchú,Spain,2236.0,1514.0,41.0,15.0,18.0,15.0,50.0,No,No,19.0,6.0,0.0,25.0,19650.0,0.0,9.53,47.17
127,Zugspitze,Germany,2000.0,700.0,45.0,7.0,13.0,0.0,20.0,No,No,4.0,2.0,4.0,10.0,13150.0,0.0,9.53,47.17
128,Lindvallen-​Högfjället-Sälen-,Sweden,887.0,579.0,41.0,22.0,17.0,3.0,42.0,Yes,Yes,49.0,4.0,0.0,53.0,50505.0,0.0,9.53,47.17
129,Jasná Nízke Tatry-Chopok,Slovakia,2004.0,943.0,39.0,19.0,17.0,7.0,44.0,Yes,Yes,19.0,8.0,5.0,32.0,35225.0,527.0,9.53,47.17
130,Tandådalen-​Hundfjället-Sälen-,Sweden,872.0,572.0,41.0,18.0,15.0,12.0,45.0,Yes,Yes,42.0,4.0,0.0,46.0,42636.0,0.0,9.53,47.17
131,Sheregesh-Kemerovo,Siberia,1270.0,670.0,0.0,0.0,0.0,0.0,0.0,No,No,3.0,5.0,4.0,12.0,19919.0,0.0,9.53,47.17
132,Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Southern Russia,949.0,547.0,32.0,7.0,10.0,2.0,20.0,No,Yes,6.0,6.0,6.0,18.0,27874.0,0.0,9.53,47.17
133,Steinplatte-​Winklmoosalm-Waidring-​Reit im Winkl,Austria,1860.0,740.0,46.0,18.0,22.0,2.0,42.0,Yes,No,3.0,9.0,2.0,14.0,31940.0,107.0,9.53,47.17
134,Rigi,Switzerland,1315.0,439.0,44.0,4.0,4.0,0.0,9.0,No,No,4.0,0.0,3.0,7.0,6500.0,0.0,9.53,47.17
135,Métabief,France,1420.0,1000.0,26.0,19.0,18.0,2.0,40.0,No,No,20.0,8.0,0.0,28.0,24745.0,0.0,9.53,47.17
136,Latemar-Obereggen-​Pampeago-​Predazzo,Italy,1540.0,1050.0,47.0,9.0,32.0,7.0,48.0,Yes,Yes,6.0,13.0,3.0,22.0,36540.0,200.0,9.53,47.17
137,Mariborsko Pohorje-Maribor,Slovenia,1327.0,325.0,31.0,23.0,13.0,5.0,41.0,No,Yes,16.0,5.0,1.0,22.0,23436.0,92.0,9.53,47.17
138,Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966.0,1240.0,29.0,22.0,16.0,6.0,45.0,Yes,No,18.0,6.0,0.0,24.0,26205.0,60.0,9.53,47.17
139,Espace Dôle-La Dôle-​Les Tuffes,France,1678.0,1137.0,27.0,17.0,8.0,2.0,28.0,Yes,No,18.0,3.0,0.0,21.0,19380.0,0.0,9.53,47.17
140,Kreischberg,Austria,2118.0,868.0,44.0,17.0,16.0,9.0,42.0,Yes,No,7.0,4.0,3.0,14.0,18808.0,110.0,9.53,47.17
141,Garmisch-Classic-Garmisch-Partenkirchen,Germany,2050.0,732.0,43.0,12.0,18.0,10.0,40.0,Yes,No,11.0,4.0,4.0,19.0,21090.0,0.0,9.53,47.17
142,Aiguille du Midi-Chamonix-,France,3842.0,1035.0,60.0,0.0,0.0,0.0,0.0,No,No,0.0,0.0,5.0,5.0,4820.0,0.0,9.53,47.17
143,Carezza Ski,Italy,2337.0,1200.0,41.0,21.0,14.0,3.0,40.0,Yes,No,13.0,5.0,2.0,20.0,19200.0,175.0,9.53,47.17
144,Pizol-Bad Ragaz-​Wangs,Switzerland,510.0,490.0,51.0,14.0,21.0,8.0,43.0,Yes,Yes,5.0,4.0,2.0,11.0,12786.0,62.0,9.53,47.17
145,SuperBesse-Puy de Sancy,France,1850.0,1300.0,32.0,30.0,9.0,4.0,43.0,Yes,Yes,16.0,5.0,1.0,22.0,21245.0,299.0,9.53,47.17
146,Stöten,Sweden,830.0,443.0,41.0,26.0,3.0,3.0,32.0,No,No,17.0,2.0,0.0,19.0,19250.0,0.0,9.53,47.17
147,Fellhorn-​Kanzelwand-Oberstdorf-​Riezlern,Austria,1967.0,920.0,45.0,13.0,19.0,2.0,34.0,Yes,Yes,7.0,6.0,4.0,17.0,22076.0,110.0,9.53,47.17
148,Idre Fjäll,Sweden,890.0,588.0,40.0,17.0,22.0,2.0,41.0,Yes,Yes,21.0,4.0,0.0,25.0,24760.0,0.0,9.53,47.17
149,Großglockner Resort Kals-Matrei,Austria,2422.0,933.0,47.0,8.0,22.0,6.0,37.0,Yes,No,9.0,5.0,3.0,17.0,18276.0,0.0,9.53,47.17
150,Pamporovo,Bulgaria,1926.0,1620.0,28.0,17.0,6.0,5.0,29.0,Yes,Yes,6.0,7.0,0.0,13.0,14266.0,130.0,9.53,47.17
151,Abetone-​Val di Luce,Italy,1892.0,1240.0,30.0,14.0,28.0,1.0,44.0,Yes,No,6.0,10.0,1.0,17.0,24056.0,110.0,9.53,47.17
152,Gerlitzen,Austria,1000.0,520.0,45.0,10.0,27.0,3.0,41.0,Yes,No,10.0,7.0,1.0,18.0,22220.0,120.0,9.53,47.17
153,Paganella-Andalo,Italy,2125.0,1030.0,40.0,9.0,22.0,1.0,33.0,Yes,Yes,4.0,12.0,2.0,18.0,23996.0,0.0,9.53,47.17
154,Melchsee-Frutt-Kerns-,Switzerland,2255.0,1080.0,44.0,20.0,6.0,10.0,36.0,Yes,Yes,5.0,4.0,2.0,11.0,14150.0,110.0,9.53,47.17
155,Vall de Núria,Spain,1964.0,912.0,30.0,4.0,2.0,1.0,7.0,No,No,3.0,1.0,2.0,6.0,4840.0,0.0,9.53,47.17
156,Arêches-Beaufort-,France,2300.0,1050.0,29.0,15.0,20.0,15.0,50.0,Yes,No,9.0,5.0,0.0,14.0,14462.0,45.0,9.53,47.17
157,Špindlerův Mlýn,Czech Republic,1235.0,702.0,34.0,8.0,13.0,2.0,24.0,Yes,Yes,17.0,6.0,0.0,23.0,21638.0,0.0,9.53,47.17
158,Les Mosses-​La Lécherette,Switzerland,1870.0,1445.0,31.0,10.0,30.0,0.0,40.0,No,No,14.0,0.0,0.0,14.0,10540.0,0.0,9.53,47.17
159,Cimone-Montecreto-​Sestola-​Le Polle,Italy,1976.0,900.0,35.0,15.0,25.0,10.0,50.0,Yes,No,6.0,13.0,1.0,20.0,23746.0,0.0,9.53,47.17
160,Luchon Superbagnères,France,1440.0,635.0,34.0,16.0,10.0,6.0,32.0,Yes,No,7.0,5.0,1.0,13.0,15965.0,180.0,9.53,47.17
161,Lélex-​Crozet,France,900.0,640.0,28.0,16.0,7.0,4.0,28.0,Yes,No,15.0,2.0,2.0,19.0,16750.0,120.0,9.53,47.17
162,Alpika Service,Southern Russia,2228.0,535.0,0.0,10.0,10.0,5.0,25.0,No,No,1.0,1.0,7.0,9.0,18120.0,0.0,9.53,47.17
163,Sinaia,Romania,880.0,834.0,32.0,3.0,11.0,4.0,20.0,No,No,2.0,3.0,4.0,9.0,9864.0,0.0,9.53,47.17
164,Gourette-Eaux Bonnes-,France,2450.0,1350.0,38.0,18.0,13.0,4.0,35.0,Yes,No,4.0,5.0,3.0,12.0,19660.0,158.0,9.53,47.17
165,Rauriser Hochalmbahnen-Rauris,Austria,2175.0,940.0,43.0,15.0,12.0,5.0,32.0,Yes,No,6.0,1.0,3.0,10.0,11927.0,35.0,9.53,47.17
166,Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1850.0,1035.0,46.0,15.0,30.0,5.0,50.0,Yes,No,8.0,5.0,1.0,14.0,16650.0,0.0,9.53,47.17
167,Meran 2000,Italy,1609.0,648.0,39.0,12.0,25.0,3.0,40.0,Yes,No,3.0,5.0,2.0,10.0,9478.0,0.0,9.53,47.17
168,Nätschen-Andermatt,Switzerland,2344.0,1444.0,44.0,8.0,5.0,8.0,21.0,No,No,1.0,4.0,2.0,7.0,13600.0,0.0,9.53,47.17
169,Albiez-Montrond,France,2200.0,1500.0,25.0,25.0,7.0,3.0,35.0,No,No,8.0,5.0,0.0,13.0,10432.0,0.0,9.53,47.17
170,Tarvisio-Monte Lussari,Italy,1752.0,754.0,35.0,9.0,11.0,5.0,25.0,Yes,Yes,5.0,8.0,2.0,15.0,17354.0,0.0,9.53,47.17
171,Mount Parnassos-Fterolakka-​Kellaria,Greece,2300.0,1600.0,30.0,18.0,15.0,3.0,36.0,No,No,9.0,3.0,5.0,17.0,20052.0,0.0,9.53,47.17
172,Moelltal Glacier-Mölltaler Gletscher-,Austria,2108.0,1222.0,47.0,5.0,7.0,4.0,17.0,Yes,No,2.0,5.0,2.0,9.0,15610.0,45.0,9.53,47.17
173,Wendelstein-Brannenburg-​Osterhofen,Germany,1723.0,791.0,35.0,0.0,7.0,4.0,11.0,No,No,2.0,0.0,2.0,4.0,3250.0,0.0,9.53,47.17
174,Glenshee,United Kingdom,900.0,650.0,33.0,24.0,10.0,2.0,36.0,No,No,18.0,3.0,0.0,21.0,16255.0,6.0,9.53,47.17
175,Sulden am Ortler-Solda all'Ortles-,Italy,3250.0,1900.0,41.0,17.0,13.0,14.0,44.0,Yes,Yes,4.0,6.0,3.0,13.0,15418.0,0.0,9.53,47.17
176,Poiana Brașov,Romania,1799.0,1021.0,32.0,5.0,2.0,5.0,13.0,No,Yes,5.0,2.0,3.0,10.0,11038.0,145.0,9.53,47.17
177,Hinterstoder-Höss,Austria,2000.0,600.0,44.0,12.0,18.0,10.0,40.0,Yes,No,15.0,2.0,2.0,19.0,18464.0,267.0,9.53,47.17
178,St. Jean Montclar,France,2500.0,1350.0,28.0,25.0,20.0,5.0,50.0,No,No,10.0,4.0,0.0,14.0,13320.0,0.0,9.53,47.17
179,Port del Comte,Spain,2310.0,1745.0,33.0,20.0,15.0,5.0,40.0,No,No,11.0,5.0,0.0,16.0,13750.0,0.0,9.53,47.17
180,Tänndalen,Sweden,1038.0,743.0,41.0,20.0,15.0,3.0,38.0,No,No,15.0,2.0,0.0,17.0,19270.0,0.0,9.53,47.17
181,Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1448.0,888.0,35.0,7.0,14.0,5.0,26.0,Yes,No,9.0,5.0,0.0,14.0,17624.0,0.0,9.53,47.17
182,Pitztal Glacier-Pitztaler Gletscher-,Austria,2685.0,1740.0,48.0,3.0,16.0,0.0,20.0,Yes,No,3.0,1.0,3.0,7.0,10935.0,0.0,9.53,47.17
183,Tauplitz-Bad Mitterndorf,Austria,896.0,812.0,41.0,18.0,18.0,6.0,42.0,No,No,14.0,4.0,1.0,19.0,18525.0,135.0,9.53,47.17
184,Hochoetz-Oetz,Austria,1410.0,820.0,37.0,12.0,21.0,3.0,36.0,Yes,No,7.0,6.0,2.0,15.0,17422.0,89.0,9.53,47.17
185,Rosshütte-Seefeld,Austria,2064.0,1230.0,44.0,10.0,9.0,1.0,20.0,Yes,Yes,8.0,3.0,2.0,13.0,12363.0,208.0,9.53,47.17
186,Malbun,Liechtenstein,2000.0,1600.0,42.0,11.0,9.0,3.0,23.0,Yes,No,6.0,3.0,0.0,9.0,8800.0,16.0,9.53,47.17
187,Špičák,Czech Republic,1202.0,854.0,23.0,3.0,3.0,0.0,8.0,Yes,Yes,11.0,1.0,0.0,12.0,7390.0,30.0,9.53,47.17
188,Riesneralm-Donnersbachwald,Austria,1820.0,950.0,40.0,15.0,12.0,3.0,30.0,No,No,5.0,3.0,0.0,8.0,6880.0,137.0,9.53,47.17
189,Berwang-​Bichlbach-​Rinnen,Austria,1743.0,1067.0,42.0,24.0,10.0,1.0,36.0,No,Yes,11.0,3.0,1.0,15.0,15623.0,130.0,9.53,47.17
190,Glungezer-Tulfes,Austria,2304.0,950.0,30.0,7.0,15.0,0.0,23.0,Yes,No,6.0,2.0,0.0,8.0,7116.0,2.0,9.53,47.17
191,Fanningberg,Austria,2115.0,1497.0,41.0,11.0,5.0,7.0,24.0,Yes,No,4.0,2.0,0.0,6.0,7162.0,36.0,9.53,47.17
192,Turracher Höhe,Austria,2205.0,1400.0,45.0,14.0,24.0,3.0,42.0,Yes,Yes,12.0,5.0,1.0,18.0,18268.0,220.0,9.53,47.17
193,Indoor ski area Snow Arena-Druskininkai,Lithuania,163.0,97.0,29.0,1.0,0.0,0.0,1.0,Yes,Yes,4.0,1.0,0.0,5.0,2800.0,16.0,9.53,47.17
194,Niedere-Andelsbuch-​Bezau,Austria,1715.0,655.0,31.0,5.0,4.0,1.0,10.0,No,No,5.0,2.0,1.0,8.0,6043.0,2.0,9.53,47.17
195,Wurzeralm-Spital am Pyhrn,Austria,1870.0,810.0,41.0,10.0,10.0,2.0,22.0,No,No,5.0,2.0,1.0,8.0,9048.0,57.0,9.53,47.17
196,Präbichl-Vordernberg,Austria,1608.0,1100.0,37.0,6.0,11.0,3.0,20.0,Yes,No,4.0,2.0,0.0,6.0,6624.0,90.0,9.53,47.17
197,Pfelders-Moos in Passeier-,Italy,2502.0,1601.0,33.0,5.0,9.0,4.0,18.0,Yes,Yes,4.0,1.0,1.0,6.0,4300.0,35.0,9.53,47.17
198,Mitterdorf-Almberg-– Mitterfirmiansreut,Germany,1139.0,841.0,23.0,2.0,2.0,1.0,6.0,No,Yes,9.0,1.0,0.0,10.0,6266.0,31.0,9.53,47.17
199,Lavarone,Italy,1650.0,1150.0,36.0,19.0,5.0,2.0,27.0,No,No,9.0,6.0,0.0,15.0,12040.0,70.0,9.53,47.17
200,Geißkopf-Bischofsmais,Germany,1116.0,835.0,24.0,1.0,5.0,0.0,8.0,Yes,Yes,8.0,1.0,0.0,9.0,6950.0,16.0,9.53,47.17
201,Donovaly-Park Snow-,Slovakia,1361.0,914.0,26.0,5.0,5.0,0.0,11.0,Yes,Yes,23.0,1.0,1.0,25.0,13620.0,30.0,9.53,47.17
202,Indoor ski area Snow Dome Bispingen,Germany,122.0,90.0,37.0,0.0,0.0,0.0,0.0,Yes,Yes,2.0,1.0,0.0,3.0,3710.0,12.0,9.53,47.17
203,Sudelfeld-Bayrischzell,Germany,1563.0,850.0,33.0,5.0,24.0,3.0,32.0,Yes,No,10.0,5.0,0.0,15.0,17477.0,100.0,9.53,47.17
204,Grüntenlifte-Kranzegg-Rettenberg-,Germany,1700.0,900.0,31.0,2.0,14.0,0.0,16.0,Yes,No,8.0,1.0,0.0,9.0,7420.0,12.0,9.53,47.17
205,Grebenzen-St. Lambrecht,Austria,1870.0,1010.0,34.0,2.0,9.0,0.0,12.0,No,No,6.0,1.0,0.0,7.0,6790.0,25.0,9.53,47.17
206,Kirchdorf,Austria,780.0,640.0,30.0,3.0,2.0,0.0,5.0,No,No,3.0,1.0,0.0,4.0,3570.0,6.0,9.53,47.17
207,Nebelhorn-Oberstdorf,Germany,2224.0,828.0,44.0,2.0,5.0,4.0,11.0,No,No,3.0,2.0,3.0,8.0,5990.0,30.0,9.53,47.17
208,Lachtal,Austria,2222.0,1600.0,41.0,7.0,16.0,2.0,25.0,No,No,8.0,2.0,0.0,10.0,10620.0,53.0,9.53,47.17
209,Ramsau am Dachstein-Rittisberg,Austria,1636.0,1035.0,36.0,14.0,10.0,1.0,25.0,No,No,14.0,1.0,0.0,15.0,10815.0,40.0,9.53,47.17
210,Eibenstock,Germany,745.0,650.0,18.0,0.0,0.0,0.0,1.0,Yes,Yes,2.0,1.0,0.0,3.0,1980.0,8.0,9.53,47.17
211,Bürchen-​Törbel-Moosalp,Switzerland,2550.0,1480.0,39.0,5.0,15.0,5.0,25.0,No,Yes,8.0,1.0,0.0,9.0,7470.0,7.0,9.53,47.17
212,Guzet,France,2100.0,1100.0,31.0,20.0,14.0,6.0,40.0,Yes,No,11.0,4.0,0.0,15.0,11130.0,100.0,9.53,47.17
213,Schetteregg-Egg,Austria,1325.0,1070.0,32.0,3.0,6.0,1.0,10.0,Yes,No,7.0,1.0,0.0,8.0,6642.0,6.0,9.53,47.17
214,Fichtelberg-Oberwiesenthal,Germany,1215.0,911.0,26.0,6.0,6.0,2.0,15.0,Yes,Yes,6.0,2.0,1.0,9.0,7384.0,141.0,9.53,47.17
215,Bellwald,Switzerland,1600.0,1204.0,45.0,9.0,21.0,6.0,36.0,Yes,No,3.0,2.0,1.0,6.0,4620.0,26.0,9.53,47.17
216,Dry slopes Dayz Søhøjlandets Skicenter,Denmark,100.0,80.0,36.0,0.0,0.0,0.0,0.0,no report,No,0.0,0.0,0.0,0.0,0.0,0.0,9.53,47.17
217,Indoor ski area Skidome Denmark – Randers (planned),Denmark,120.0,10.0,0.0,1.0,1.0,1.0,3.0,no report,No,0.0,0.0,0.0,0.0,0.0,0.0,9.53,47.17
218,Dry slopes Indoorski – Rødovre,Denmark,53.0,50.0,0.0,0.0,0.0,0.0,0.0,no report,No,0.0,0.0,0.0,0.0,0.0,0.0,9.53,47.17
219,Dry slopes Ski Arena – Aarhus,Denmark,23.0,20.0,0.0,0.0,0.0,0.0,0.0,no report,No,0.0,0.0,0.0,0.0,0.0,0.0,9.53,47.17
220,Copenhagen (planned),Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no report,No,0.0,0.0,0.0,0.0,0.0,0.0,9.53,47.17
221,Østerlars (Bornholm),Denmark,110.0,72.0,18.0,0.0,0.0,0.0,0.0,no report,No,0.0,0.0,0.0,0.0,1220.0,0.0,9.53,47.17
222,Hoch Hylkedal – Kolding,Denmark,45.0,20.0,15.0,0.0,0.0,0.0,0.0,no report,No,0.0,0.0,0.0,0.0,600.0,0.0,9.53,47.17
223,Klewenalp-​Stockhütte-Beckenried-​Emmetten,Switzerland,1200.0,436.0,45.0,15.0,25.0,0.0,40.0,No,No,9.0,3.0,2.0,14.0,13394.0,0.0,9.53,47.17
224,Schöneck-Skiwelt-,Germany,760.0,620.0,20.0,1.0,1.0,0.0,3.0,Yes,Yes,5.0,1.0,0.0,6.0,4324.0,16.0,9.53,47.17
225,Indoor ski area SnowWorld Landgraaf,Netherlands,210.0,150.0,42.0,0.0,0.0,0.0,1.0,Yes,Yes,10.0,9.0,0.0,19.0,5231.0,4.0,9.53,47.17
